arr,dep
0.0,-0.6666666666666666
0.0,-1.5
0.0,0.0
0.0,-4.2
-6.5,-4.25
-17.5,-3.25
-6.5,1.25
-13.0,-4.0
-15.6,7.5
-11.0,2.0
-7.0,3.5
-1.3333333333333333,14.5
-9.5,5.0
-18.0,-6.0
4.666666666666667,4.75
-0.8,-2.25
-16.0,1.3333333333333333
-11.25,1.0
-5.5,1.0
6.333333333333333,9.666666666666666
-5.0,5.0
-11.0,4.4
7.75,-7.0
-12.0,8.5
-15.5,-5.142857142857143
4.2,-2.0
-2.5,14.0
-6.4,-4.666666666666667
-25.0,-5.0
-13.5,-7.0
-2.0,4.857142857142857
-9.5,0.0
0.5,-0.2857142857142857
-9.5,-6.0
22.5,0.0
-8.75,0.0
0.0,-2.0
0.0,-2.25
0.0,-2.0
0.0,-3.0
4.5,-2.375
9.0,-1.6666666666666667
-4.714285714285714,2.3333333333333335
-2.25,-0.5714285714285714
-4.142857142857143,0.6666666666666666
-3.0,-3.5
-3.75,1.3333333333333333
-1.3333333333333333,-2.0
-8.142857142857142,-3.3333333333333335
0.0,-6.0
-1.5,-4.666666666666667
3.0,-8.5
-7.0,1.0
-16.0,-0.2
-21.0,-1.0
-9.0,19.0
1.0,1.0
-7.428571428571429,9.833333333333334
-12.666666666666666,28.0
0.0,6.0
-5.8,-2.0
-2.1666666666666665,5.5
8.0,-2.5
-2.75,-2.0
-10.5,1.0
-12.0,-3.0
-11.6,-7.0
-5.5,8.5
-4.0,-3.0
-16.0,0.0
-6.833333333333333,0.0
5.5,0.0
0.0,-3.8
0.0,0.5
-24.0,0.0
-6.0,2.4545454545454546
-3.75,-2.6666666666666665
-7.666666666666667,-3.0
-9.666666666666666,-0.6
-13.333333333333334,2.0
-11.11111111111111,5.0
-10.8,0.0
-15.333333333333334,5.8
-10.625,12.5
-6.0,-2.0
0.0,-1.2
8.666666666666666,6.25
17.0,28.666666666666668
0.8,-3.25
-7.2,-4.0
-8.75,19.5
6.5,-3.0
-7.0,5.75
5.2,4.714285714285714
25.0,4.0
-5.0,1.25
-9.571428571428571,-2.2
